Gene_Symbol	logFC	logCPM	PValue	FDR	Tumor
ERBB4	ERBB4	-4.15366705902183	4.31210078130618	2.87986983062727e-259	1.38233751870109e-256	HNSC
ZBTB16	ZBTB16	-3.91742236855228	4.86485942170245	9.4668100124711e-228	2.27203440299306e-225	HNSC
SLC34A2	SLC34A2	-3.11302498399405	8.87038792377623	4.44023188708579e-133	7.10437101933726e-131	HNSC
TLX3	TLX3	6.74742132622091	4.46693522420257	1.05791367029717e-93	1.2694964043566e-91	HNSC
HOXA11	HOXA11	4.8060460378598	4.97474594429319	4.04652527648879e-73	3.88466426542924e-71	HNSC
HMGA2	HMGA2	4.3809633302771	9.50520258723684	1.85041110273244e-71	1.48032888218595e-69	HNSC
HOXD13	HOXD13	4.39635592526927	6.62161033454794	9.96064986781509e-69	6.83015990935892e-67	HNSC
PPARG	PPARG	-2.28817161142631	6.25682981118176	4.01421883842337e-63	2.40853130305402e-61	HNSC
MUC4	MUC4	-2.20956095650052	11.314169654086	9.72421807736436e-59	5.186249641261e-57	HNSC
AR	AR	-2.22349208488588	4.16873297915339	1.89524492495682e-57	9.09717563979272e-56	HNSC
HOXD11	HOXD11	3.72262634964719	7.38990595983445	1.14932198056977e-56	5.01522318794083e-55	HNSC
IRS4	IRS4	3.98894640373802	4.06942564793291	5.01769191350281e-56	2.00707676540112e-54	HNSC
FOXL2	FOXL2	3.74068428861904	5.86138806638225	1.2463432962328e-54	4.60188293993649e-53	HNSC
HLF	HLF	-2.13995342411116	8.0103720793874	2.11687218014805e-54	7.25784747479332e-53	HNSC
MUC16	MUC16	-2.10751878040977	8.83533730403912	1.33160642042905e-52	4.26114054537297e-51	HNSC
MITF	MITF	-2.11110497812205	7.1392135033131	1.47988894354821e-52	4.43966683064464e-51	HNSC
HOXC11	HOXC11	3.66222645350275	5.56000995546663	2.07594924090958e-52	5.8615037390388e-51	HNSC
RSPO3	RSPO3	-2.11321308916162	4.99525521283167	9.27126946408285e-52	2.47233852375543e-50	HNSC
TLX1	TLX1	-2.07494336423243	5.31612871327162	9.87834705069028e-50	2.49558241280596e-48	HNSC
CDKN2A	CDKN2A	3.26442384050494	9.69260269464615	4.08003865978383e-47	9.7920927834812e-46	HNSC
KIT	KIT	-1.99710295127604	7.41957214049121	2.15173341654593e-46	4.91824780924783e-45	HNSC
