Gene_Symbol	logFC	logCPM	PValue	FDR	Tumor
PAX5	PAX5	-3.76888777365428	5.60361768476306	1.33105980994522e-37	6.42901888203543e-35	PAAD
CD79A	CD79A	-2.42177473292478	9.14527347161655	2.21411993036107e-12	5.34709963182198e-10	PAAD
CD79B	CD79B	-2.33005250434859	8.19748875149138	2.48759006224981e-11	4.0050200002222e-09	PAAD
TCL1A	TCL1A	-2.23827784544551	7.32614688215549	2.40211911698558e-10	2.90055883376008e-08	PAAD
HOXA11	HOXA11	4.3865346619169	5.18968798847742	5.31645000126752e-09	5.13569070122442e-07	PAAD
FEV	FEV	3.99661930596169	7.01448625963903	9.08846242793169e-09	7.31621225448501e-07	PAAD
BTK	BTK	-1.97916562802095	7.85657420298658	5.46187340649415e-08	3.76869265048096e-06	PAAD
HOXA13	HOXA13	3.75574562716787	5.93569976601401	6.32715414815789e-08	3.82001931695032e-06	PAAD
PRF1	PRF1	-1.92894948234975	7.44743093763414	1.42083619609421e-07	7.62515425237225e-06	PAAD
BCL11A	BCL11A	-1.91320448883053	6.87501418764565	1.97500848146509e-07	9.53929096547638e-06	PAAD
POU2AF1	POU2AF1	-1.87562007578835	8.47374101607696	3.51107099432278e-07	1.54167935477991e-05	PAAD
RHOH	RHOH	-1.86057743324642	7.6050830989347	4.68683936215535e-07	1.88645284326753e-05	PAAD
IKZF1	IKZF1	-1.8456797729748	8.74913491699637	5.83051276152717e-07	2.0719277960023e-05	PAAD
CDH17	CDH17	3.23616896246851	10.3663602536384	6.28782486662819e-07	2.0719277960023e-05	PAAD
MUC16	MUC16	3.23207241435009	10.6026560790912	6.43455837267795e-07	2.0719277960023e-05	PAAD
CIITA	CIITA	-1.81946771929365	9.04102577672104	9.01631653260178e-07	2.72180055327916e-05	PAAD
HMGA2	HMGA2	3.17419539005347	7.9798578858147	1.04892557658093e-06	2.98018266757995e-05	PAAD
PTPRC	PTPRC	-1.77058447961466	10.3418342497102	1.96951228487595e-06	5.28485796441714e-05	PAAD
MUC4	MUC4	2.89748604705574	10.9249805849363	4.76474461504131e-06	0.000121124823634998	PAAD
HOXC11	HOXC11	3.00187914770053	5.46502334528304	5.13319797659274e-06	0.000123966731134715	PAAD
CTNNA2	CTNNA2	2.81091775077697	5.47360809437041	1.44346083995968e-05	0.000331995993190727	PAAD
WAS	WAS	-1.60604228237362	8.37847724604951	2.30928367486897e-05	0.000506992734073506	PAAD
ROS1	ROS1	2.6802750082617	5.59032346625484	2.55239598040271e-05	0.00053600315588457	PAAD
IRF4	IRF4	-1.57190184181187	6.90802764324099	3.80617362683444e-05	0.000765992442400431	PAAD
AFF3	AFF3	-1.5439984051043	6.85018781728934	5.53928193587175e-05	0.00107018927001042	PAAD
CSF3R	CSF3R	-1.52678619519129	8.47276243533348	6.59475133207328e-05	0.00122510188207361	PAAD
WT1	WT1	-1.51587415677346	5.95169437268788	8.37889708784995e-05	0.00149889159015982	PAAD
PTK6	PTK6	2.37967819312179	10.021578728086	9.3357439915014e-05	0.0015554093317239	PAAD
PTPRT	PTPRT	2.40132244685868	6.87647317561765	9.33889660869422e-05	0.0015554093317239	PAAD
BCL2	BCL2	-1.49397508829904	8.32914394551791	9.98267072988743e-05	0.00160720998751188	PAAD
CCR7	CCR7	-1.45024787230214	7.89172478950976	0.000170692324498702	0.0026594965397701	PAAD
SOX2	SOX2	2.27050694690784	5.25109529530274	0.00024412876725582	0.00361301653440018	PAAD
ETV4	ETV4	2.20246952878214	9.6089265847533	0.000246852061356534	0.00361301653440018	PAAD
FOXA1	FOXA1	2.15355746100408	7.81782576069903	0.000341269381227972	0.0048480326803856	PAAD
FLI1	FLI1	-1.38278513639059	8.78116124387173	0.000367357944607003	0.00506953963557664	PAAD
ALK	ALK	2.21813435050507	4.73704252132337	0.000394216079679518	0.0052890657357002	PAAD
P2RY8	P2RY8	-1.33437426863617	7.87489954090384	0.000630264932500305	0.00822751249723371	PAAD
CDH10	CDH10	2.06256973463358	5.07128915048004	0.000725652866754645	0.00922342985901298	PAAD
